Independent Variables,Dependent Variable,RMSE,R2,Adj R2,Cross Validation RMSE
"['Bottles Sold', 'Wages Per Capita']",Sale (Dollars) Per Capita,6.840754114934879,0.43238166918017795,0.43113324176635137,6.582134467046691
"['Bottles Sold', 'Wages Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.770164574942176,0.4896401908846224,0.48851769863583494,0.7738755693564289
"['Bottles Sold', 'Wages Per Capita']",Sale (Dollars) Per Capita - Log,0.4772535987008846,0.41404603461559797,0.41275727955976715,0.4783563714388567
"['Bottles Sold', 'Average Emp Per Capita']",Sale (Dollars) Per Capita,6.0833237816292725,0.5302410704512138,0.5292078763246403,6.180375551350068
"['Bottles Sold', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7412814220694685,0.5556499947101637,0.554672685314365,0.7205756175145825
"['Bottles Sold', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Log,0.445752497358794,0.5038730936835492,0.5027819054731757,0.452514886724286
"['Sale (Dollars)', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita,7.881203276084608,0.2329544603996907,0.23126741009265184,7.741251946877737
"['Sale (Dollars)', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Sqrt,0.9386234298459413,0.22230812973463154,0.22059766374431178,0.9503191840153488
"['Sale (Dollars)', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Log,0.5673531923247179,0.18664171220939552,0.18485280101924018,0.5747350955679141
"['Sale (Dollars)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita,7.666402440280021,0.2442385492553023,0.24257631732551188,7.727540347406546
"['Sale (Dollars)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Sqrt,0.9148470315969967,0.24332350848643147,0.24165926400363036,0.9497278497339036
"['Sale (Dollars)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Log,0.5763557498320113,0.1522948852745568,0.1504304312099114,0.5771572477847452
"['Sale (Dollars)', 'Wages Per Capita']",Sale (Dollars) Per Capita,7.090755166969942,0.4210526607579802,0.4197793161702045,6.564261718104194
"['Sale (Dollars)', 'Wages Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7384046048012363,0.5067106177283622,0.5056256704066504,0.7729156617430015
"['Sale (Dollars)', 'Wages Per Capita']",Sale (Dollars) Per Capita - Log,0.47977367578807323,0.42515216046895143,0.42388783237614125,0.4784142553238951
"['Sale (Dollars)', 'Average Emp Per Capita']",Sale (Dollars) Per Capita,6.203157913534234,0.5204903161564501,0.5194356760893455,6.197723291255073
"['Sale (Dollars)', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7061279579412498,0.5813986821141983,0.5804780047288189,0.7195416473394043
"['Sale (Dollars)', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Log,0.4764332531010148,0.47246477360596184,0.47130450551271985,0.45226330877843346
"['Volume Sold (Liters)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita,8.053934746563534,0.22971531187729732,0.2280211373433031,7.7910547140931214
"['Volume Sold (Liters)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Sqrt,1.0554709740939232,0.061261113145420265,0.05919643817433251,0.9991611745364299
"['Volume Sold (Liters)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Log,0.5839958066828006,0.14946250929012328,0.14759182565952966,0.5841432942777811
"['Volume Sold (Liters)', 'Wages Per Capita']",Sale (Dollars) Per Capita,6.3326261982142285,0.4740675864827517,0.47291084363777247,6.560411503512212
"['Volume Sold (Liters)', 'Wages Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7674985864787549,0.49285297371119585,0.49173754770029676,0.7735017293425928
"['Volume Sold (Liters)', 'Wages Per Capita']",Sale (Dollars) Per Capita - Log,0.4877141569519514,0.4284634874070259,0.4272064422913522,0.4790640551076647
